shape,pearson_target,rP2,rS2,bonus,mult_t,mult_w,pred_t,pred_w,att_t,att_w,secs
normal,0.2,0.19910683525331535,0.1842703068659421,-0.01483652838737326,1.145215713697649,1.1453975186720773,1.2183178747336938,1.1988154880772801,0.9399974649046139,0.9554410416478042,40.9
normal,0.35,0.3487461742764263,0.32693943889875443,-0.02180673537767186,1.3448208675068256,1.332618332560833,1.4574530614228003,1.4169232968800969,0.9227198481397264,0.9405013916385637,40.5
normal,0.5,0.49863161392713135,0.47378323058410543,-0.024848383343025915,1.68852643223708,1.645616565602796,1.814119682731763,1.7433900901876982,0.9307690381785835,0.9439175861241842,40.3
normal,0.65,0.6487597851343885,0.6252037096306012,-0.023556075503787244,2.2941961127772403,2.171653897391037,2.403174920638274,2.28667253827719,0.9546521533138798,0.9497004319766705,40.2
normal,0.8,0.7991294425879221,0.781516255161729,-0.01761318742619311,3.489309652401191,3.2490954316254093,3.561462814051603,3.371142149384004,0.9797405826151729,0.963796626677135,40.1
laplace,0.2,0.1996915098205541,0.2324468121011009,0.03275530228054682,1.1707206302285915,1.2292113649689642,1.2190994241705946,1.2645456431574589,0.9603159570230154,0.9720577281020335,40.3
laplace,0.35,0.349500419235886,0.3793573422864259,0.02985692305053994,1.421824652976867,1.4577705886808985,1.4588964190817122,1.5184221229167498,0.9745891719110671,0.9600562101141247,40.3
laplace,0.5,0.4993521145943604,0.5177367815628162,0.01838466696845581,1.8071309176820556,1.8013469317304458,1.8162562666631543,1.8725297940626153,0.9949757370980121,0.9619857251094883,40.1
laplace,0.65,0.6493101520031441,0.6543802495991965,0.00507009759605237,2.4099235915449078,2.3778711291957135,2.4060389854048316,2.4327480464819122,1.0016145233571194,0.9774424164616807,39.9
laplace,0.8,0.7994416250532667,0.7944737147516482,-0.004967910301618472,3.6510455317735118,3.477151766107868,3.565030138705635,3.5090962845390545,1.0241275360154758,0.9908966537703929,39.9
contam,0.2,0.2013557379899348,0.32053053332824905,0.11917479533831424,1.2036097744501602,1.3134188228758132,1.2213295397191515,1.4054368932603412,0.9854914135024803,0.9345270706740423,40.1
contam,0.35,0.35137911262727844,0.4832228744917157,0.13184376186443725,1.4606566153548812,1.6141096104003856,1.4625040321172622,1.7696001394984393,0.9987368125339754,0.9121323932862456,40.0
contam,0.5,0.5008848417810491,0.6119212742209214,0.11103643243987227,1.8211837087808118,2.0186962051439488,1.8208182226093712,2.2258287909726215,1.0002007263366008,0.9069413664389875,40.0
contam,0.65,0.6502206940122887,0.722591846870211,0.0723711528579224,2.418579392849575,2.618837134228112,2.410792392051125,2.85986105034465,1.0032300586413516,0.9157218089013479,39.9
contam,0.8,0.7997381411188387,0.8283222291661145,0.028584088047275857,3.5150469350449316,3.640178624532518,3.5684250663719665,3.9291187951555546,0.9850415434444572,0.9264618389804634,39.9
flip,0.2,0.19998334199077172,0.24216390462351345,0.042180562632741725,1.2261649570996356,1.2276509722702984,1.219489898967571,1.2786865563471603,1.0054736477421549,0.9600874946064532,40.1
flip,0.35,0.3497801737693854,0.39640842688227934,0.046628253112893925,1.453249861624379,1.4801901178587114,1.459432497240534,1.5546480174619832,0.9957636714079994,0.9521062653623507,40.0
flip,0.5,0.49953406107213905,0.5363911969156446,0.036857135843505584,1.7980743655188223,1.8434445251875893,1.81679660974902,1.9333088756225247,0.9896949145932279,0.9535178514059223,39.9
flip,0.65,0.649366977108981,0.6691436264421374,0.019776649333156482,2.3912201610634223,2.435287859756739,2.4063350875313674,2.5140109841865743,0.9937186942307975,0.9686862448394167,39.8
flip,0.8,0.7994044636664713,0.8019427850804115,0.00253832141394017,3.5457391744823874,3.545673909547754,3.5646051190116137,3.593871097263633,0.9947074237119264,0.9865890605390447,39.8
t3,0.2,0.2095521483721934,0.2855299936776011,0.07597784530540772,1.2039606746931297,1.2842870117199945,1.2324331042481995,1.3458533482030577,0.976897383349307,0.9542547956170226,40.0
t3,0.35,0.362207599850177,0.4452990373809475,0.08309143753077053,1.478248265469379,1.5899233262995909,1.4836505563184308,1.6688058912572612,0.996358784872863,0.9527311322599412,39.9
t3,0.5,0.511760683658756,0.5823761158442912,0.07061543218553512,1.8931250200864174,2.0010429205818006,1.8538588782427092,2.101451806779693,1.0211807610085881,0.9522192772282697,39.9
t3,0.65,0.6590073692925267,0.7070576713958184,0.04805030210329175,2.5166565617053247,2.654472700077598,2.4576463504630013,2.7499112788002273,1.0240108635773435,0.9652939425870245,39.8
t3,0.8,0.8048862190247806,0.8268523737010335,0.021966154676252847,3.7131865971546016,3.8462966411360346,3.6284153895558178,3.9088019641352267,1.023363148509069,0.9840090842225565,39.7
